Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 590, average 65740, total 38786673






@uc: count 143, average 14867, total 2125996






@uc: count 214, average 11762, total 2517130






@q2[ksoftirqd/169]: count 170, average 1245, total 211677
@q2[iperf]: count 3, average 6345, total 19037
@q2[kworker/169:2]: count 1, average 15850, total 15850


@q4[ksoftirqd/169]: count 956, average 1621, total 1550295
@q4[swapper/169]: count 18843, average 1636, total 30828625
@q4[kworker/169:2]: count 16, average 2462, total 39403
@q4[iperf]: count 3, average 6573, total 19719

@q5[ksoftirqd/169]: count 7137, average 722, total 5155449
@q5[swapper/169]: count 145787, average 725, total 105827988
@q5[kworker/169:2]: count 125, average 804, total 100515
@q5[iperf]: count 12, average 2126, total 25518

@uc: count 20317, average 2648, total 53809669

@q1[swapper/169]: count 389, average 3247, total 1263224
@q1[ksoftirqd/169]: count 74, average 3638, total 269238
@q1[iperf]: count 4, average 6279, total 25117

@q2[swapper/169]: count 1568, average 1050, total 1646854
@q2[ksoftirqd/169]: count 167, average 1216, total 203236
@q2[iperf]: count 4, average 3398, total 13595


@q4[ksoftirqd/169]: count 929, average 1626, total 1511404
@q4[swapper/169]: count 18908, average 1636, total 30936360
@q4[iperf]: count 4, average 3426, total 13705

@q5[swapper/169]: count 146071, average 711, total 103922499
@q5[ksoftirqd/169]: count 6949, average 713, total 4955769
@q5[iperf]: count 17, average 1272, total 21639

@uc: count 20257, average 2451, total 49662545

@q1[swapper/169]: count 392, average 3282, total 1286763
@q1[ksoftirqd/169]: count 66, average 4020, total 265376
@q1[iperf]: count 2, average 22026, total 44053

@q2[swapper/169]: count 1566, average 1053, total 1650069
@q2[ksoftirqd/169]: count 161, average 1225, total 197335
@q2[iperf]: count 2, average 12318, total 24637


@q4[ksoftirqd/169]: count 950, average 1605, total 1524893
@q4[swapper/169]: count 18883, average 1634, total 30861651
@q4[iperf]: count 2, average 9944, total 19888

@q5[swapper/169]: count 145985, average 711, total 103939331
@q5[ksoftirqd/169]: count 7125, average 716, total 5104792
@q5[iperf]: count 7, average 3390, total 23734

@uc: count 20243, average 2532, total 51262206

@q1[swapper/169]: count 391, average 3282, total 1283416
@q1[ksoftirqd/169]: count 71, average 3677, total 261088
@q1[iperf]: count 2, average 16390, total 32781
@q1[kworker/169:2]: count 1, average 41117, total 41117

@q2[swapper/169]: count 1568, average 1062, total 1665509
@q2[ksoftirqd/169]: count 154, average 1136, total 174945
@q2[iperf]: count 2, average 8791, total 17583
@q2[kworker/169:2]: count 2, average 11502, total 23004


@q4[ksoftirqd/169]: count 905, average 1607, total 1454473
@q4[swapper/169]: count 18905, average 1632, total 30862842
@q4[kworker/169:2]: count 20, average 2593, total 51877
@q4[iperf]: count 2, average 7589, total 15178

@q5[swapper/169]: count 146065, average 711, total 103948768
@q5[ksoftirqd/169]: count 6783, average 713, total 4842484
@q5[kworker/169:2]: count 154, average 817, total 125895
@q5[iperf]: count 8, average 2144, total 17152

@uc: count 20584, average 2506, total 51600465

@q1[swapper/169]: count 384, average 3319, total 1274640
@q1[ksoftirqd/169]: count 77, average 3551, total 273460
@q1[iperf]: count 3, average 12560, total 37680

@q2[swapper/169]: count 1553, average 1053, total 1636033
@q2[ksoftirqd/169]: count 176, average 1179, total 207617
@q2[iperf]: count 3, average 6763, total 20289


@q4[ksoftirqd/169]: count 1001, average 1627, total 1629168
@q4[swapper/169]: count 18824, average 1633, total 30755544
@q4[iperf]: count 3, average 6205, total 18615

@q5[swapper/169]: count 145567, average 711, total 103571202
@q5[ksoftirqd/169]: count 7474, average 713, total 5332470
@q5[iperf]: count 10, average 2380, total 23806

@uc: count 20393, average 2607, total 53165198

@q1[swapper/169]: count 399, average 3210, total 1281120
@q1[ksoftirqd/169]: count 63, average 3661, total 230699
@q1[iperf]: count 4, average 9348, total 37392

@q2[swapper/169]: count 1580, average 1058, total 1673176
@q2[ksoftirqd/169]: count 149, average 1249, total 186199
@q2[iperf]: count 4, average 4273, total 17092


@q4[ksoftirqd/169]: count 862, average 1611, total 1389219
@q4[swapper/169]: count 18964, average 1637, total 31049528
@q4[iperf]: count 4, average 3919, total 15679

@q5[swapper/169]: count 146602, average 712, total 104472765
@q5[ksoftirqd/169]: count 6465, average 715, total 4628054
@q5[iperf]: count 16, average 1427, total 22835

@uc: count 20315, average 2404, total 48841665

@q1[swapper/169]: count 385, average 3334, total 1283703
@q1[ksoftirqd/169]: count 76, average 3535, total 268732

@q2[swapper/169]: count 1561, average 1076, total 1680176
@q2[ksoftirqd/169]: count 171, average 1133, total 193904


@q4[ksoftirqd/169]: count 967, average 1613, total 1560600
