Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.





@uc: count 507, average 101174, total 51295282
@q2[kworker/169:1]: count 3, average 5984, total 17953


@q4[ksoftirqd/169]: count 741, average 956, total 708521
@q4[openssl]: count 29932, average 957, total 28665105
@q4[kworker/169:1]: count 62, average 1608, total 99746

@q5[openssl]: count 232124, average 429, total 99773336
@q5[ksoftirqd/169]: count 5491, average 430, total 2366268
@q5[kworker/169:1]: count 480, average 501, total 240921

@uc: count 2026, average 7006, total 14194395

@q1[openssl]: count 682, average 1778, total 1212802
@q1[ksoftirqd/169]: count 48, average 1970, total 94586

@q2[openssl]: count 1453, average 608, total 884813
@q2[ksoftirqd/169]: count 101, average 712, total 71920


@q4[ksoftirqd/169]: count 663, average 946, total 627378
@q4[openssl]: count 30077, average 957, total 28803171

@q5[openssl]: count 233196, average 429, total 100270050
@q5[ksoftirqd/169]: count 4893, average 433, total 2123457

@uc: count 1858, average 6900, total 12820581

@q1[openssl]: count 673, average 1728, total 1163134
@q1[ksoftirqd/169]: count 51, average 1892, total 96516

@q2[openssl]: count 1435, average 601, total 862524
@q2[ksoftirqd/169]: count 107, average 748, total 80060


@q4[ksoftirqd/169]: count 784, average 953, total 747595
@q4[openssl]: count 29961, average 958, total 28710210

@q5[openssl]: count 232242, average 429, total 99851694
@q5[ksoftirqd/169]: count 5811, average 433, total 2519932

@uc: count 1809, average 6133, total 11095191

@q1[openssl]: count 674, average 1775, total 1196418
@q1[ksoftirqd/169]: count 65, average 1967, total 127875

@q2[openssl]: count 1379, average 613, total 845879
@q2[ksoftirqd/169]: count 128, average 702, total 89859


@q4[ksoftirqd/169]: count 923, average 955, total 881704
@q4[openssl]: count 29808, average 957, total 28552729

@q5[openssl]: count 231259, average 430, total 99461449
@q5[ksoftirqd/169]: count 6877, average 431, total 2967585

@uc: count 2214, average 6674, total 14777920

@q1[openssl]: count 678, average 1750, total 1186524
