Attaching 12 probes...
Tracing latency of network stack funtions. Hit Ctrl-C to end.
@q4[iperf]: count 8, average 4165, total 33321

@q5[swapper/169]: count 163403, average 470, total 76933329
@q5[ksoftirqd/169]: count 181815, average 642, total 116860730
@q5[iperf]: count 64, average 817, total 52329

@uc: count 32641, average 1698, total 55432714

@q1[ksoftirqd/169]: count 109, average 2720, total 296581
@q1[swapper/169]: count 509, average 2748, total 1398771

@q2[swapper/169]: count 763, average 656, total 501039
@q2[ksoftirqd/169]: count 178, average 855, total 152226


@q4[swapper/169]: count 23161, average 1022, total 23673405
@q4[iperf]: count 80, average 1733, total 138688
@q4[ksoftirqd/169]: count 21229, average 3011, total 63929674

@q5[swapper/169]: count 182177, average 459, total 83633198
@q5[ksoftirqd/169]: count 168327, average 630, total 106198839
@q5[iperf]: count 637, average 729, total 464937

@uc: count 29552, average 1610, total 47599116

@q1[swapper/169]: count 487, average 2736, total 1332744
@q1[ksoftirqd/169]: count 120, average 3025, total 363110
@q1[iperf]: count 1, average 39223, total 39223

@q2[ksoftirqd/169]: count 197, average 679, total 133817
@q2[swapper/169]: count 728, average 689, total 501832
@q2[iperf]: count 1, average 28143, total 28143


@q4[swapper/169]: count 22729, average 1023, total 23257563
@q4[ksoftirqd/169]: count 21558, average 1438, total 31006297
@q4[iperf]: count 11, average 2847, total 31320

@q5[swapper/169]: count 178835, average 460, total 82295250
@q5[ksoftirqd/169]: count 170965, average 635, total 108630213
@q5[iperf]: count 85, average 644, total 54796

@uc: count 30320, average 1716, total 52051569

@q1[swapper/169]: count 489, average 2679, total 1310249
@q1[ksoftirqd/169]: count 120, average 2894, total 347296

@q2[swapper/169]: count 728, average 653, total 475813
@q2[ksoftirqd/169]: count 185, average 747, total 138253
@q2[iperf]: count 1, average 14868, total 14868


@q4[swapper/169]: count 22325, average 1025, total 22893183
@q4[ksoftirqd/169]: count 21937, average 1427, total 31325095
@q4[iperf]: count 98, average 1472, total 144332

@q5[swapper/169]: count 175583, average 462, total 81203015
@q5[ksoftirqd/169]: count 173969, average 631, total 109801333
@q5[iperf]: count 778, average 636, total 495401

@uc: count 56159, average 1162, total 65260954

@q1[swapper/169]: count 473, average 2695, total 1275181
@q1[ksoftirqd/169]: count 125, average 2905, total 363224

@q2[swapper/169]: count 699, average 652, total 456002
@q2[ksoftirqd/169]: count 192, average 818, total 157147


@q4[swapper/169]: count 20914, average 1034, total 21632552
@q4[ksoftirqd/169]: count 22969, average 1451, total 33336795

@q5[swapper/169]: count 164434, average 467, total 76810142
@q5[ksoftirqd/169]: count 182125, average 642, total 116973433

@uc: count 31547, average 2018, total 63681911

@q1[swapper/169]: count 507, average 2709, total 1373803
@q1[ksoftirqd/169]: count 117, average 2766, total 323649
@q1[kworker/169:2]: count 1, average 39254, total 39254

@q2[swapper/169]: count 769, average 647, total 498052
@q2[ksoftirqd/169]: count 179, average 830, total 148743
@q2[iperf]: count 2, average 14001, total 28002
@q2[kworker/169:2]: count 1, average 27181, total 27181


@q4[swapper/169]: count 22537, average 1029, total 23201369
@q4[kworker/169:2]: count 46, average 1376, total 63326
@q4[ksoftirqd/169]: count 21579, average 1444, total 31181018
@q4[iperf]: count 25, average 1591, total 39791

@q5[swapper/169]: count 177123, average 465, total 82443314
@q5[kworker/169:2]: count 363, average 480, total 174514
@q5[iperf]: count 195, average 502, total 97964
@q5[ksoftirqd/169]: count 171126, average 1323, total 226555135

@uc: count 29491, average 2077, total 61261701

@q1[swapper/169]: count 480, average 2740, total 1315563
@q1[ksoftirqd/169]: count 118, average 2761, total 325810
@q1[iperf]: count 1, average 39354, total 39354

@q2[swapper/169]: count 731, average 653, total 477824
@q2[ksoftirqd/169]: count 197, average 720, total 142029
@q2[iperf]: count 1, average 28123, total 28123


@q4[swapper/169]: count 22860, average 1026, total 23456342
